TICKER,DATE,YEARREPORT,NPL (3-5),PPOP,NIM,Loan yield,COF from loan,Provision for credit losses
BID,2019Q3,2019,0.0209001094586355,8075165000000.0,0.0252695625540088,0.0810633188947552,0.0217420909761662,-5755970000000.0
BID,2019Q4,2019,0.0174146984866293,7355440000000.0,0.0268854900058751,0.0832793688345697,0.0206601875946173,-3507245000000.0
BID,2020Q1,2020,0.0174487877795825,7854907000000.0,0.0254923746264744,0.0817095500848786,0.0189459882901922,-6040664000000.0
BID,2020Q2,2020,0.0199869082226644,6865085000000.0,0.0196376363204059,0.0712709059427317,0.0176680067708953,-4320486000000.0
BID,2020Q3,2020,0.0196668064510887,8461174000000.0,0.0256603039076149,0.0752409909327816,0.021413217500318,-5758095000000.0
BID,2020Q4,2020,0.0175759060878074,9157568000000.0,0.0289256847578576,0.0796072568964765,0.0678115879118213,-7005559000000.0
BID,2021Q1,2021,0.0176444119869363,10568543000000.0,0.0287073580397361,0.0680346020741455,0.018266158486864,-7172520000000.0
BID,2021Q2,2021,0.0163215493373709,13183408000000.0,0.0327956731628167,0.0750408396376396,0.0177261653927855,-8519881000000.0
BID,2021Q3,2021,0.0161308163838664,10175969000000.0,0.0297119915815568,0.0697964652925061,0.0183435903772463,-7502132000000.0
BID,2021Q4,2021,0.0097773873001228,9105958000000.0,0.0254760686419271,0.067973688027607,0.0184275076402789,-6237747000000.0
BID,2022Q1,2022,0.0096839735095827,11904773000000.0,0.0286822620958735,0.0688918644045189,0.0136176303928621,-7391272000000.0
BID,2022Q2,2022,0.0102934544737227,12935853000000.0,0.0307572470198346,0.0717058362310569,0.0105121652494018,-6445999000000.0
BID,2022Q3,2022,0.0134625499724274,12102329000000.0,0.0282109821292845,0.0725799448997444,0.0132621294288485,-5428946000000.0
BID,2022Q4,2022,0.0115767320679016,10102328000000.0,0.028179410945343,0.0794952423052589,0.0148874763301225,-4721443000000.0
BID,2023Q1,2023,0.0154835133732696,12446625000000.0,0.0266877091883821,0.0852382664255972,0.0170080747408141,-5527046000000.0
BID,2023Q2,2023,0.0159448771025918,10883519000000.0,0.0259011157976579,0.086285425267881,0.0241762088122378,-3932886000000.0
BID,2023Q3,2023,0.0159628255003723,11842405000000.0,0.0262307751763655,0.0828007454146588,0.0380233925620909,-5949617000000.0
BID,2023Q4,2023,0.0125047562254762,12771787000000.0,0.0271845217013959,0.0770545027254233,0.0430633521375845,-4885023000000.0
BID,2024Q1,2024,0.0150506755994614,11778628000000.0,0.0237441514863314,0.0664271442575239,0.0285319520625653,-4388714000000.0
BID,2024Q2,2024,0.0152364283665446,13516271000000.0,0.0249893310131827,0.0647152562500518,0.0214700741164263,-5357739000000.0
BID,2024Q3,2024,0.017093902625694,10951408000000.0,0.022453222319919,0.0609750463976897,0.0242280302434102,-4453129000000.0
BID,2024Q4,2024,0.0141217991640626,16847742000000.0,0.0238503667834562,0.0630698087398805,0.0207026246564272,-6909598000000.0
BID,2025Q1,2025,0.018938099674508,11991592000000.0,0.0201680493694069,0.0586105399130568,0.0107148629530126,-4578467000000.0
CTG,2017Q1,2017,0.0113468220867543,4608799000000.0,,,,-2064726000000.0
CTG,2017Q2,2017,0.0116707736621265,5048339000000.0,0.0300776603214813,0.0709310294728795,0.0261467621503597,-2778783000000.0
CTG,2017Q3,2017,0.0120736274249783,4238157000000.0,0.0254196883800191,0.0677649151706217,0.020687532123274,-1819602000000.0
CTG,2017Q4,2017,0.0113306757298582,3654786000000.0,0.02753264931992,0.0728010331204773,0.0232440752196007,-1680984000000.0
CTG,2018Q1,2018,0.0124593979185753,5379090000000.0,0.0272736508385463,0.0689998123583827,0.0272258533264864,-2351397000000.0
CTG,2018Q2,2018,0.0129417343870051,4838720000000.0,0.0266484542827913,0.0721171057930947,0.0226167708899991,-2600786000000.0
CTG,2018Q3,2018,0.013601479623749,5708269000000.0,0.0269881228248738,0.0743221775361923,0.021256894749745,-3378148000000.0
CTG,2018Q4,2018,0.0156286420025405,-1564592000000.0,0.0009370097562849,0.0730926738731946,0.2514069068104319,527477000000.0
CTG,2019Q1,2019,0.0185266804497916,6394473000000.0,0.0284424175310534,0.0776832218373359,0.0158880282193232,-3241532000000.0
CTG,2019Q2,2019,0.0146911520439154,6320879000000.0,0.0291858850771424,0.0802073025776876,0.013817625625632,-4138916000000.0
CTG,2019Q3,2019,0.0156451586743176,6623182000000.0,0.0288049086260182,0.0817167977708196,0.0091147705363336,-3501760000000.0
CTG,2019Q4,2019,0.0115617950689144,5443687000000.0,0.0292955203350653,0.0832314257120212,0.0224552862702006,-2119681000000.0
