TICKER,CUR_MKT_CAP,TRADE_DATE
LCG,1880.7047,2025-07-08
VFS,2721.59746,2025-07-08
TTN,661.095,2025-07-08
ANV,6270.32291,2025-07-08
BRC,175.10621,2025-07-08
CHP,5171.3259100000005,2025-07-08
FUE,124.236,2025-07-08
HVH,615.3740799999999,2025-07-08
LGL,232.76689000000002,2025-07-08
MHC,347.80958000000004,2025-07-08
PEG,1045.28537,2025-07-08
SVC,1365.7113100000001,2025-07-08
EVS,1038.24389,2025-07-08
HSL,239.50332,2025-07-08
HTM,2309.5652999999998,2025-07-08
ILB,1065.76583,2025-07-08
NHA,1027.7146500000001,2025-07-08
SMC,813.35555,2025-07-08
TAL,8201.655,2025-07-08
TBH,1219.8431799999998,2025-07-08
TIP,1261.1524299999999,2025-07-08
TMP,4480.0,2025-07-08
AAM,75.24851,2025-07-08
APF,1530.20771,2025-07-08
BAB,11783.66867,2025-07-08
CAV,,2025-07-08
DVP,3104.0,2025-07-08
BMC,234.84034,2025-07-08
EVF,8518.33698,2025-07-08
HT1,4922.5098499999995,2025-07-08
LM8,127.21664,2025-07-08
PHC,263.54602,2025-07-08
PVD,11312.15812,2025-07-08
SAB,60088.047130000006,2025-07-08
SSC,432.66019,2025-07-08
TID,4700.0,2025-07-08
VGG,2068.29,2025-07-08
VSC,6326.85912,2025-07-08
YEG,2368.75513,2025-07-08
AAA,2825.0085299999996,2025-07-08
AAT,218.83103,2025-07-08
DC4,1405.4641299999998,2025-07-08
DTA,82.17224,2025-07-08
HUT,12081.04196,2025-07-08
KSB,1991.32043,2025-07-08
MSR,20554.20635,2025-07-08
NAB,24156.88973,2025-07-08
NT2,5671.15777,2025-07-08
PJT,267.48994,2025-07-08
SGI,988.5875699999999,2025-07-08
SQC,1824.083,2025-07-08
TN1,617.34553,2025-07-08
CRC,718.1991999999999,2025-07-08
DTP,2694.02097,2025-07-08
HAN,1438.6896000000002,2025-07-08
ICT,403.92175,2025-07-08
MIG,3494.86906,2025-07-08
MVC,1040.0,2025-07-08
NVB,18089.344370000003,2025-07-08
PRE,2077.56,2025-07-08
QNP,1299.17989,2025-07-08
VNG,742.22052,2025-07-08
ADP,690.04351,2025-07-08
BVH,40011.19697999999,2025-07-08
DCF,1891.956,2025-07-08
FUE,54.72,2025-07-08
HAS,62.4,2025-07-08
LDG,1081.25504,2025-07-08
PET,2630.7005299999996,2025-07-08
PLP,315.69931,2025-07-08
SHB,57523.299049999994,2025-07-08
VMD,264.8006,2025-07-08
AGG,2754.8509700000004,2025-07-08
BCE,358.75,2025-07-08
CNT,653.80283,2025-07-08
DHC,2786.65629,2025-07-08
FUE,416.56,2025-07-08
PVT,8411.76911,2025-07-08
SJF,134.64,2025-07-08
TDW,465.8,2025-07-08
TLG,4754.94662,2025-07-08
TMS,7112.12607,2025-07-08
VOS,2086.0,2025-07-08
DTK,8739.42368,2025-07-08
DVN,5569.5,2025-07-08
FCM,189.0669,2025-07-08
FUC,,2025-07-08
FUC,,2025-07-08
KHP,733.57746,2025-07-08
LDW,1709.96,2025-07-08
SRC,729.64757,2025-07-08
TCT,217.396,2025-07-08
GMA,1069.99995,2025-07-08
INN,1138.37454,2025-07-08
MML,10825.830310000001,2025-07-08
NLG,15210.47451,2025-07-08
OPC,1614.08248,2025-07-08
SRF,304.08102,2025-07-08
TLP,1750.69126,2025-07-08
TNH,2414.23227,2025-07-08
VTB,108.0452,2025-07-08
MBB,161099.99822,2025-07-08
MVB,1869.0,2025-07-08
S4A,1527.64,2025-07-08
SBG,629.99953,2025-07-08
SJD,1028.07944,2025-07-08
VCR,9135.0,2025-07-08
VFM,,2025-07-08
CLL,1156.0,2025-07-08
PVC,941.85577,2025-07-08
SFG,522.08093,2025-07-08
TNI,124.425,2025-07-08
VGV,1155.51467,2025-07-08
CIG,441.49554,2025-07-08
CMX,724.50182,2025-07-08
DSP,1424.208,2025-07-08
FPT,184425.60019,2025-07-08
HAH,9066.63038,2025-07-08
HID,221.06705,2025-07-08
NAV,137.19966,2025-07-08
PC1,8046.94772,2025-07-08
